TestB_0_0, irifnkhb/nblwwsfs/8/8/8/8/HIRSHWRZ/LBKLLRNW w - - 0 1, None, depth: 10, matchCount: 40, results: 0.0
TestB_0_1, lpqkzipp/cznqsfzn/8/8/8/8/AZNLABIL/LWAQHKZQ w - - 0 1, None, depth: 10, matchCount: 40, results: 5.8129178364778715
TestB_0_2, zsqnkzpp/zqrnzrcs/8/8/8/8/NWSNAACF/KNPFZQFF w - - 0 1, None, depth: 10, matchCount: 40, results: 0.0
TestB_0_3, kqbwqzws/sabscfni/8/8/8/8/RSRAABLF/QFFZSPIK w - - 0 1, None, depth: 10, matchCount: 40, results: 8.304872930770115
TestB_0_4, nknaffwl/crzbcwfl/8/8/8/8/ZBWWNIFF/RHQFKHNF w - - 0 1, None, depth: 10, matchCount: 40, results: 0.0
TestB_0_5, lcsalwnk/lwfrsrrl/8/8/8/8/BBBAISIP/KZARZQBI w - - 0 1, None, depth: 10, matchCount: 40, results: 0.0
TestB_1_0, kqbwwizz/sabsspfn/8/8/8/8/RSZAQBIL/QFFBHKZW w - - 0 1, TestB_0_3/TestB_0_1, depth: 10, matchCount: 40, results: 0.0
TestB_1_1, cpqknihs/lzsqabfs/8/8/8/8/AZNLLWRZ/LWKQLWNA w - - 0 1, TestB_0_1/TestB_0_0, depth: 10, matchCount: 40, results: 4.593698781076233
TestB_1_2, krifqbzs/nbcwlfbi/8/8/8/8/HLRSABLF/IBKPILIW w - - 0 1, TestB_0_0/TestB_0_3, depth: 10, matchCount: 40, results: 10.740600829645057
TestB_2_0, kriaqwws/wncncfbi/8/8/8/8/HBNSALIF/IRFPSPLK w - - 0 1, TestB_1_2/TestB_0_3, depth: 10, matchCount: 40, results: 7.611082415044636
TestB_2_1, kpzwzinp/sanssfzq/8/8/8/8/RSIASBLI/QKFZHFZQ w - - 0 1, TestB_0_3/TestB_0_1, depth: 10, matchCount: 40, results: 0.0
