TestC_0_0, kzqzsrrl/pfhrabal/8/8/8/8/PCSCQQHN/PPNCNNFK w - - 0 1, None, depth: 10, matchCount: 40, results: 3.686959082866596
TestC_0_1, pkpsiplb/qrqnpwiw/8/8/8/8/AFLPLAZH/BQFFQCKS w - - 0 1, None, depth: 10, matchCount: 40, results: 6.796328846633824
TestC_0_2, knhrrclc/laaqrlan/8/8/8/8/RBNWCRQA/QBSQNNKP w - - 0 1, None, depth: 10, matchCount: 40, results: 9.666940335615147
TestC_0_3, krsnwhhb/wchszihn/8/8/8/8/WHCCFSLP/LQSCKWZC w - - 0 1, None, depth: 10, matchCount: 40, results: 5.6268125594982275
TestC_0_4, lfskbhci/zhhczlbc/8/8/8/8/SLZCAZSI/LNFWPAKC w - - 0 1, None, depth: 10, matchCount: 40, results: 0.0
TestC_0_5, hqczklqn/pszqwbsb/8/8/8/8/CPLFQWFB/QKAZSPNB w - - 0 1, None, depth: 10, matchCount: 40, results: 6.159260255167595
TestC_1_0, knhraplb/bbaqpliw/8/8/8/8/RBNWLACH/RBHQSZKS w - - 0 1, TestC_0_2/TestC_0_1, depth: 10, matchCount: 40, results: 0.0
TestC_1_1, pqpsklqn/qrqnwbsb/8/8/8/8/PQLPFWFB/BQFFSAKB w - - 0 1, TestC_0_1/TestC_0_5, depth: 10, matchCount: 40, results: 0.0
TestC_1_2, kqczrczc/aslrwlan/8/8/8/8/CFLFBRQA/QCKZRNAP w - - 0 1, TestC_0_5/TestC_0_2, depth: 10, matchCount: 40, results: 15.613198124483326
TestC_2_0, kqscrclc/aslralbn/8/8/8/8/CFLACRQF/QCPZKCNP w - - 0 1, TestC_1_2/TestC_0_2, depth: 10, matchCount: 40, results: 2.339943365014511
TestC_2_1, knhpillb/laqapiiw/8/8/8/8/RHNWFAZL/QBSQQCKC w - - 0 1, TestC_0_2/TestC_0_1, depth: 10, matchCount: 40, results: 0.0
TestC_2_2, pkznrrpc/qcqnclan/8/8/8/8/AFLPFRQA/QBLFWNKP w - - 0 1, TestC_0_1/TestC_1_2, depth: 10, matchCount: 40, results: 0.0
TestC_3_0, kqclanzc/ailrrlrn/8/8/8/8/CPLQCRQA/QCNZNKAF w - - 0 1, TestC_1_2/TestC_0_2, depth: 10, matchCount: 40, results: 11.580964757807223
TestC_3_1, klaribnb/lhbqpwiw/8/8/8/8/QBNWLQZI/QBSSQCKR w - - 0 1, TestC_0_2/TestC_0_1, depth: 10, matchCount: 40, results: 0.0
TestC_3_2, pkpsrczq/qrcainal/8/8/8/8/AHLBCRQA/QBKFRNAP w - - 0 1, TestC_0_1/TestC_1_2, depth: 10, matchCount: 40, results: 8.605356424073726
